id,value
kingdom_Bacteria,
kingdom_Bacteria.class_Bacilli,
kingdom_Bacteria.class_Bacilli.family_Lactobacillaceae,3
kingdom_Bacteria.class_Bacilli.order_Bacillales,
kingdom_Bacteria.class_Bacilli.order_Bacillales.family_Bacillaceae,4
kingdom_Bacteria.class_Bacilli.order_Bacillales.family_Paenibacillaceae,4
kingdom_Bacteria.class_Bacilli.order_Bacillales.family_Staphylococcaceae,4
kingdom_Bacteria.class_Betaproteobacteria,
kingdom_Bacteria.class_Betaproteobacteria.order_Burkholderiales,
kingdom_Bacteria.class_Betaproteobacteria.order_Burkholderiales.family_Alcaligenaceae,4
kingdom_Bacteria.class_Betaproteobacteria.order_Burkholderiales.family_Burkholderiaceae,4
kingdom_Bacteria.class_Deltaproteobacteria,2
kingdom_Bacteria.class_Mollicutes,
kingdom_Bacteria.class_Mollicutes.family_Mycoplasmataceae,3
kingdom_Bacteria.class_Mollicutes.order_Mycoplasmataceae,3
kingdom_Bacteria.class_Proteobacteria,2
kingdom_Bacteria.family_Pasteurellaceae,2
kingdom_Bacteria.order_Lactobacillales,
kingdom_Bacteria.order_Lactobacillales.family_Streptococcaceae,3
kingdom_Bacteria.order_Nostocales,
kingdom_Bacteria.order_Nostocales.family_Nostocaceae,3
kingdom_Bacteria.order_Pasteurellaceae,2
kingdom_Bacteria.order_Rhodospirillales,2
kingdom_Bacteria.phylum_Bacteroidetes,2
kingdom_Bacteria.phylum_Cyanobacteria,2
kingdom_Bacteria.phylum_Tenericutes,2
