id,value
kingdom_Fungus,
kingdom_Fungus.class_Agaricomycetes,
kingdom_Fungus.class_Agaricomycetes.class_Agaricomycetidae,3
kingdom_Fungus.class_Agaricomycetes.class_Hymenomycete,3
kingdom_Fungus.class_Agaricomycetes.order_Agaricales,
kingdom_Fungus.class_Agaricomycetes.order_Agaricales.family_Agaricaceae,4
kingdom_Fungus.class_Agaricomycetes.order_Agaricales.family_Amanitaceae,4
kingdom_Fungus.class_Agaricomycetes.order_Agaricales.family_Hymenogastraceae,4
kingdom_Fungus.class_Agaricomycetes.order_Agaricales.family_Marasmiaceae,4
kingdom_Fungus.class_Agaricomycetes.order_Agaricales.family_Physalacriaceae,4
kingdom_Fungus.class_Agaricomycetes.order_Agaricales.family_Psathyrellaceae,4
kingdom_Fungus.class_Agaricomycetes.order_Agaricales.family_Strophariaceae,4
kingdom_Fungus.class_Agaricomycetes.order_Agaricales.family_Tricholomataceae,4
kingdom_Fungus.class_Agaricomycetes.order_Boletales,
kingdom_Fungus.class_Agaricomycetes.order_Boletales.family_Boletaceae,4
kingdom_Fungus.class_Agaricomycetes.order_Boletales.family_Rhizopogonaceae,4
kingdom_Fungus.class_Agaricomycetes.order_Cantharellales,
kingdom_Fungus.class_Agaricomycetes.order_Cantharellales.family_Cantharellaceae,4
kingdom_Fungus.class_Agaricomycetes.order_Polyporales,
kingdom_Fungus.class_Agaricomycetes.order_Polyporales.family_Polyporaceae,4
kingdom_Fungus.class_Agaricomycetes.order_Russulales,
kingdom_Fungus.class_Agaricomycetes.order_Russulales.family_Russulaceae,4
kingdom_Fungus.class_Agaricomycetes.phylum_Agaricomycotina,3
kingdom_Fungus.class_Ascomycota,2
kingdom_Fungus.class_Dothideomycetes,2
kingdom_Fungus.class_Eurotiomycetes,2
kingdom_Fungus.class_Lecanoromycetes,
kingdom_Fungus.class_Lecanoromycetes.order_Lecanorales,
kingdom_Fungus.class_Lecanoromycetes.order_Lecanorales.family_Parmeliaceae,4
kingdom_Fungus.class_Leotiomycetes,2
kingdom_Fungus.class_Pezizomycetes,2
kingdom_Fungus.class_Pucciniomycetes,
kingdom_Fungus.class_Pucciniomycetes.order_Rust_(fungus),3
kingdom_Fungus.class_Saccharomycetes,
kingdom_Fungus.class_Saccharomycetes.order_Saccharomycetales,
kingdom_Fungus.class_Saccharomycetes.order_Saccharomycetales.family_Saccharomycetaceae,4
kingdom_Fungus.class_Saccharomycetes.phylum_Saccharomycotina,3
kingdom_Fungus.class_Sordariomycetes,
kingdom_Fungus.class_Sordariomycetes.order_Hypocreales,
kingdom_Fungus.class_Sordariomycetes.order_Hypocreales.family_Clavicipitaceae,4
kingdom_Fungus.class_Sordariomycetes.order_Hypocreales.family_Nectriaceae,4
kingdom_Fungus.class_Tremellomycetes,2
kingdom_Fungus.class_Ustilaginomycetes,2
kingdom_Fungus.family_Tremellaceae,2
kingdom_Fungus.kingdom_Dikarya,
kingdom_Fungus.kingdom_Dikarya.phylum_Agaricomycotina,3
kingdom_Fungus.order_Eurotiales,
kingdom_Fungus.order_Eurotiales.family_Trichocomaceae,3
kingdom_Fungus.order_Helotiales,2
kingdom_Fungus.order_Pezizales,2
kingdom_Fungus.order_Pleosporales,2
kingdom_Fungus.order_Tremellales,2
kingdom_Fungus.order_Ustilaginales,2
kingdom_Fungus.phylum_Ascomycota,
kingdom_Fungus.phylum_Ascomycota.family_Sordariaceae,3
kingdom_Fungus.phylum_Ascomycota.phylum_Saccharomycotina,3
kingdom_Fungus.phylum_Basidiomycota,
kingdom_Fungus.phylum_Basidiomycota.phylum_Agaricomycotina,3
kingdom_Fungus.phylum_Pezizomycotina,2
