id,value
kingdom_Plant,
kingdom_Plant.class_Bryopsida,2
kingdom_Plant.class_Cycad,
kingdom_Plant.class_Cycad.family_Zamiaceae,3
kingdom_Plant.class_Cycad.order_Cycad,3
kingdom_Plant.class_Equisetopsida,
kingdom_Plant.class_Equisetopsida.order_Equisetales,3
kingdom_Plant.class_Eudicots,
kingdom_Plant.class_Eudicots.class_Rosids,
kingdom_Plant.class_Eudicots.class_Rosids.family_Combretaceae,4
kingdom_Plant.class_Eudicots.class_Rosids.family_Melastomataceae,4
kingdom_Plant.class_Eudicots.class_Rosids.family_Onagraceae,4
kingdom_Plant.class_Eudicots.order_Asterids,
kingdom_Plant.class_Eudicots.order_Asterids.family_Boraginaceae,
kingdom_Plant.class_Eudicots.order_Asterids.family_Boraginaceae.family_Boraginoideae,5
kingdom_Plant.class_Eudicots.order_Asterids.family_Boraginaceae.family_Hydrophylloideae,5
kingdom_Plant.class_Eudicots.order_Asterids.family_Holly,4
kingdom_Plant.class_Eudicots.order_Asterids.order_Apiales,
kingdom_Plant.class_Eudicots.order_Asterids.order_Apiales.family_Apiaceae,
kingdom_Plant.class_Eudicots.order_Asterids.order_Apiales.family_Apiaceae.family_Selineae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Apiales.family_Araliaceae,
kingdom_Plant.class_Eudicots.order_Asterids.order_Apiales.family_Araliaceae.family_Aralioideae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Aquifoliales,4
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales,
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Asteraceae,
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Asteraceae.family_Anthemideae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Asteraceae.family_Astereae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Asteraceae.family_Asteroideae,
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Asteraceae.family_Asteroideae.family_Coreopsideae,7
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Asteraceae.family_Asteroideae.family_Helenieae,7
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Asteraceae.family_Calenduleae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Asteraceae.family_Cichorieae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Asteraceae.family_Cichorioideae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Asteraceae.family_Cynareae,
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Asteraceae.family_Cynareae.family_Carduoideae,7
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Asteraceae.family_Eupatorieae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Asteraceae.family_Gnaphalieae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Asteraceae.family_Heliantheae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Asteraceae.family_Inuleae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Asteraceae.family_Mutisioideae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Asteraceae.family_Senecioneae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Asteraceae.family_Tageteae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Campanulaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Asterales.family_Menyanthaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Cornales,
kingdom_Plant.class_Eudicots.order_Asterids.order_Cornales.family_Cornaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Cornales.family_Hydrangeaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Dipsacales,
kingdom_Plant.class_Eudicots.order_Asterids.order_Dipsacales.family_Adoxaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Dipsacales.family_Caprifoliaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Ericales,
kingdom_Plant.class_Eudicots.order_Asterids.order_Ericales.family_Balsaminaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Ericales.family_Ebenaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Ericales.family_Ericaceae,
kingdom_Plant.class_Eudicots.order_Asterids.order_Ericales.family_Ericaceae.family_Monotropoideae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Ericales.family_Lecythidaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Ericales.family_Polemoniaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Ericales.family_Primulaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Ericales.family_Sapotaceae,
kingdom_Plant.class_Eudicots.order_Asterids.order_Ericales.family_Sapotaceae.family_Sapotoideae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Ericales.family_Sarraceniaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Ericales.family_Styracaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Ericales.family_Theaceae,5
