id,value
generalizations_concept:location,
generalizations_concept:location.generalizations_concept:attraction,
generalizations_concept:location.generalizations_concept:attraction.generalizations_concept:aquarium,3
generalizations_concept:location.generalizations_concept:attraction.generalizations_concept:monument,3
generalizations_concept:location.generalizations_concept:attraction.generalizations_concept:museum,3
generalizations_concept:location.generalizations_concept:attraction.generalizations_concept:park,3
generalizations_concept:location.generalizations_concept:attraction.generalizations_concept:port,3
generalizations_concept:location.generalizations_concept:attraction.generalizations_concept:skiarea,3
generalizations_concept:location.generalizations_concept:attraction.generalizations_concept:stadiumoreventvenue,3
generalizations_concept:location.generalizations_concept:attraction.generalizations_concept:transportation,3
generalizations_concept:location.generalizations_concept:attraction.generalizations_concept:zoo,3
generalizations_concept:location.generalizations_concept:beach,2
generalizations_concept:location.generalizations_concept:building,
generalizations_concept:location.generalizations_concept:building.generalizations_concept:airport,3
generalizations_concept:location.generalizations_concept:building.generalizations_concept:bridge,3
generalizations_concept:location.generalizations_concept:building.generalizations_concept:hospital,3
generalizations_concept:location.generalizations_concept:building.generalizations_concept:hotel,3
generalizations_concept:location.generalizations_concept:building.generalizations_concept:monument,3
generalizations_concept:location.generalizations_concept:building.generalizations_concept:museum,3
generalizations_concept:location.generalizations_concept:building.generalizations_concept:placeofworship,3
generalizations_concept:location.generalizations_concept:building.generalizations_concept:restaurant,3
generalizations_concept:location.generalizations_concept:building.generalizations_concept:retailstore,3
generalizations_concept:location.generalizations_concept:building.generalizations_concept:shoppingmall,3
generalizations_concept:location.generalizations_concept:building.generalizations_concept:skyscraper,3
generalizations_concept:location.generalizations_concept:building.generalizations_concept:stadiumoreventvenue,3
generalizations_concept:location.generalizations_concept:building.generalizations_concept:trainstation,3
generalizations_concept:location.generalizations_concept:cave,2
generalizations_concept:location.generalizations_concept:farm,2
generalizations_concept:location.generalizations_concept:geopoliticallocation,
generalizations_concept:location.generalizations_concept:geopoliticallocation.generalizations_concept:city,3
generalizations_concept:location.generalizations_concept:geopoliticallocation.generalizations_concept:country,3
generalizations_concept:location.generalizations_concept:geopoliticallocation.generalizations_concept:county,3
generalizations_concept:location.generalizations_concept:geopoliticallocation.generalizations_concept:island,3
generalizations_concept:location.generalizations_concept:geopoliticallocation.generalizations_concept:stateorprovince,3
generalizations_concept:location.generalizations_concept:highway,2
generalizations_concept:location.generalizations_concept:lake,2
generalizations_concept:location.generalizations_concept:landscapefeatures,2
generalizations_concept:location.generalizations_concept:mountain,2
generalizations_concept:location.generalizations_concept:mountainrange,2
generalizations_concept:location.generalizations_concept:planet,2
generalizations_concept:location.generalizations_concept:river,2
generalizations_concept:location.generalizations_concept:room,2
generalizations_concept:location.generalizations_concept:street,2
generalizations_concept:location.generalizations_concept:trail,2
generalizations_concept:location.generalizations_concept:website,2
generalizations_concept:location.generalizations_concept:zipcode,2
