id,value
phylum_Apicomplexa,
phylum_Apicomplexa.class_Aconoidasida,
phylum_Apicomplexa.class_Aconoidasida.family_Plasmodiidae,3
phylum_Apicomplexa.class_Aconoidasida.order_Haemospororida,3
phylum_Apicomplexa.class_Conoidasida,
phylum_Apicomplexa.class_Conoidasida.order_Eucoccidiorida,
phylum_Apicomplexa.class_Conoidasida.order_Eucoccidiorida.class_Coccidia,4
phylum_Apicomplexa.class_Conoidasida.order_Eucoccidiorida.family_Eimeriidae,4
phylum_Apicomplexa.class_Conoidasida.order_Eucoccidiorida.family_Sarcocystidae,
phylum_Apicomplexa.class_Conoidasida.order_Eucoccidiorida.family_Sarcocystidae.family_Toxoplasmatinae,5
