id,value
part_of_usa,
part_of_usa.has_part_niagara_falls,2
part_of_usa.has_part_potomac_river,2
part_of_usa.has_part_rustbelt,2
part_of_usa.instance_hypernym_american_state,
part_of_usa.instance_hypernym_american_state.has_part_arkansas_river,
part_of_usa.instance_hypernym_american_state.has_part_arkansas_river.has_part_neosho_river,4
part_of_usa.instance_hypernym_american_state.has_part_badlands,3
part_of_usa.instance_hypernym_american_state.has_part_canadian_river,
part_of_usa.instance_hypernym_american_state.has_part_canadian_river.has_part_brazos_river,4
part_of_usa.instance_hypernym_american_state.has_part_canadian_river.has_part_cimarron_river,4
part_of_usa.instance_hypernym_american_state.has_part_canadian_river.has_part_guadalupe_mountains,4
part_of_usa.instance_hypernym_american_state.has_part_canadian_river.has_part_pecos_river,4
part_of_usa.instance_hypernym_american_state.has_part_chisholm_trail,3
part_of_usa.instance_hypernym_american_state.has_part_colorado_plateau,
part_of_usa.instance_hypernym_american_state.has_part_colorado_plateau.has_part_gila_river,4
part_of_usa.instance_hypernym_american_state.has_part_colorado_plateau.has_part_lake_powell,4
part_of_usa.instance_hypernym_american_state.has_part_cumberland_river,3
part_of_usa.instance_hypernym_american_state.has_part_delaware_river,3
part_of_usa.instance_hypernym_american_state.has_part_green_river,3
part_of_usa.instance_hypernym_american_state.has_part_housatonic_river,3
part_of_usa.instance_hypernym_american_state.has_part_klamath_river,3
part_of_usa.instance_hypernym_american_state.has_part_little_missouri_river,
part_of_usa.instance_hypernym_american_state.has_part_little_missouri_river.has_part_bighorn_river,4
part_of_usa.instance_hypernym_american_state.has_part_little_missouri_river.has_part_black_hills,4
part_of_usa.instance_hypernym_american_state.has_part_little_missouri_river.has_part_black_hills,4
part_of_usa.instance_hypernym_american_state.has_part_little_missouri_river.has_part_james_river,4
part_of_usa.instance_hypernym_american_state.has_part_little_missouri_river.has_part_little_horn,4
part_of_usa.instance_hypernym_american_state.has_part_little_missouri_river.has_part_yellowstone_river,4
part_of_usa.instance_hypernym_american_state.has_part_little_missouri_river.part_of_dakota,4
part_of_usa.instance_hypernym_american_state.has_part_little_sioux_river,3
part_of_usa.instance_hypernym_american_state.has_part_llano_estacado,
part_of_usa.instance_hypernym_american_state.has_part_llano_estacado.has_part_brazos_river,4
part_of_usa.instance_hypernym_american_state.has_part_llano_estacado.has_part_cimarron_river,4
part_of_usa.instance_hypernym_american_state.has_part_llano_estacado.has_part_guadalupe_mountains,4
part_of_usa.instance_hypernym_american_state.has_part_llano_estacado.has_part_pecos_river,4
part_of_usa.instance_hypernym_american_state.has_part_merrimack_river,3
part_of_usa.instance_hypernym_american_state.has_part_monongahela_river,3
part_of_usa.instance_hypernym_american_state.has_part_north_platte_river,
part_of_usa.instance_hypernym_american_state.has_part_north_platte_river.has_part_south_platte_river,4
part_of_usa.instance_hypernym_american_state.has_part_red_river,3
part_of_usa.instance_hypernym_american_state.has_part_republican_river,
part_of_usa.instance_hypernym_american_state.has_part_republican_river.has_part_south_platte_river,4
part_of_usa.instance_hypernym_american_state.has_part_snake_river,3
part_of_usa.instance_hypernym_american_state.has_part_tennessee_river,3
part_of_usa.instance_hypernym_american_state.has_part_wabash_river,3
part_of_usa.instance_hypernym_american_state.has_part_yellowstone_national_park,
part_of_usa.instance_hypernym_american_state.has_part_yellowstone_national_park.has_part_bighorn_river,4
part_of_usa.instance_hypernym_american_state.has_part_yellowstone_national_park.has_part_little_horn,4
part_of_usa.instance_hypernym_american_state.has_part_yellowstone_national_park.has_part_yellowstone_river,4
part_of_usa.instance_hypernym_american_state.member_holonym_south,
part_of_usa.instance_hypernym_american_state.member_holonym_south.has_part_clinch_river,4
part_of_usa.instance_hypernym_american_state.member_holonym_south.has_part_okefenokee_swamp,4
part_of_usa.instance_hypernym_american_state.member_holonym_south.has_part_ouachita_river,4
part_of_usa.instance_hypernym_american_state.member_holonym_south.has_part_white_river,4
part_of_usa.instance_hypernym_american_state.member_holonym_south.part_of_carolinas,4
part_of_usa.instance_hypernym_american_state.member_holonym_south.part_of_deep_south,
part_of_usa.instance_hypernym_american_state.member_holonym_south.part_of_deep_south.has_part_coosa_river,5
part_of_usa.instance_hypernym_american_state.member_holonym_south.part_of_deep_south.has_part_tallapoosa_river,5
part_of_usa.instance_hypernym_american_state.member_holonym_south.part_of_deep_south.has_part_tombigbee_river,5
part_of_usa.instance_hypernym_american_state.member_holonym_south.part_of_gulf_states,
part_of_usa.instance_hypernym_american_state.member_holonym_south.part_of_gulf_states.has_part_tombigbee_river,5
part_of_usa.instance_hypernym_american_state.part_of_corn_belt,3
part_of_usa.instance_hypernym_american_state.part_of_southwestern_united_states,
part_of_usa.instance_hypernym_american_state.part_of_southwestern_united_states.has_part_brazos_river,4
part_of_usa.instance_hypernym_american_state.part_of_southwestern_united_states.has_part_gila_river,4
part_of_usa.instance_hypernym_american_state.part_of_southwestern_united_states.has_part_guadalupe_mountains,4
part_of_usa.instance_hypernym_american_state.part_of_southwestern_united_states.has_part_lake_mead,4
part_of_usa.instance_hypernym_american_state.part_of_southwestern_united_states.has_part_lake_tahoe,4
part_of_usa.instance_hypernym_american_state.part_of_southwestern_united_states.has_part_mojave_desert,4
part_of_usa.instance_hypernym_american_state.part_of_southwestern_united_states.has_part_pecos_river,4
part_of_usa.part_of_mid-atlantic_states,
part_of_usa.part_of_mid-atlantic_states.has_part_delaware_river,3
part_of_usa.part_of_mid-atlantic_states.has_part_susquehanna_river,
part_of_usa.part_of_mid-atlantic_states.has_part_susquehanna_river.has_part_allegheny_river,4
part_of_usa.part_of_midwestern_united_states,
part_of_usa.part_of_midwestern_united_states.has_part_little_sioux_river,3
part_of_usa.part_of_midwestern_united_states.part_of_corn_belt,3
