id,value
kingdom_Animal,
kingdom_Animal.class_Agnatha,2
kingdom_Animal.class_Heterostraci,2
kingdom_Animal.class_Mammaliaformes,2
kingdom_Animal.family_Mole_salamander,2
kingdom_Animal.kingdom_Eumetazoa,2
kingdom_Animal.phylum_Annelid,
kingdom_Animal.phylum_Annelid.class_Clitellata,
kingdom_Animal.phylum_Annelid.class_Clitellata.class_Oligochaeta,
kingdom_Animal.phylum_Annelid.class_Clitellata.class_Oligochaeta.family_Enchytraeidae,5
kingdom_Animal.phylum_Annelid.class_Clitellata.class_Oligochaeta.family_Megascolecidae,5
kingdom_Animal.phylum_Annelid.class_Clitellata.order_Haplotaxida,
kingdom_Animal.phylum_Annelid.class_Clitellata.order_Haplotaxida.family_Enchytraeidae,5
kingdom_Animal.phylum_Annelid.class_Clitellata.order_Haplotaxida.family_Lumbricidae,5
kingdom_Animal.phylum_Annelid.class_Leech,3
kingdom_Animal.phylum_Annelid.class_Polychaete,
kingdom_Animal.phylum_Annelid.class_Polychaete.class_Palpata,4
kingdom_Animal.phylum_Annelid.class_Polychaete.order_Canalipalpata,4
kingdom_Animal.phylum_Annelid.class_Polychaete.order_Phyllodocida,4
kingdom_Animal.phylum_Annelid.class_Polychaete.order_Sabellida,4
kingdom_Animal.phylum_Arthropod,
kingdom_Animal.phylum_Arthropod.class_Arachnid,
kingdom_Animal.phylum_Arthropod.class_Arachnid.class_Acari,
kingdom_Animal.phylum_Arthropod.class_Arachnid.class_Acari.order_Parasitiformes,
kingdom_Animal.phylum_Arthropod.class_Arachnid.class_Acari.order_Parasitiformes.order_Tick,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.class_Acari.order_Trombidiformes,5
kingdom_Animal.phylum_Arthropod.class_Arachnid.class_Dromopoda,4
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Mesostigmata,4
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Scorpion,
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Scorpion.family_Buthidae,5
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Scorpion.family_Scorpionidae,5
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider,
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Agelenidae,5
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Dysderoidea,5
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Gnaphosoidea,5
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Hexathelidae,5
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Huntsman_spider,5
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider,
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Aelurillinae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Agoriinae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Amycinae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Ballinae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Dendryphantinae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Euophryinae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Hasariinae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Heliophaninae,6
