id,value
phylum_Proteobacteria,
phylum_Proteobacteria.class_Alphaproteobacteria,
phylum_Proteobacteria.class_Alphaproteobacteria.family_Rickettsiaceae,3
phylum_Proteobacteria.class_Alphaproteobacteria.order_Rhizobiales,
phylum_Proteobacteria.class_Alphaproteobacteria.order_Rhizobiales.family_Rhizobiaceae,4
phylum_Proteobacteria.class_Betaproteobacteria,
phylum_Proteobacteria.class_Betaproteobacteria.order_Burkholderiales,
phylum_Proteobacteria.class_Betaproteobacteria.order_Burkholderiales.family_Alcaligenaceae,4
phylum_Proteobacteria.class_Betaproteobacteria.order_Burkholderiales.family_Burkholderiaceae,4
phylum_Proteobacteria.class_Deltaproteobacteria,2
phylum_Proteobacteria.class_Epsilonproteobacteria,2
phylum_Proteobacteria.class_Gammaproteobacteria,
phylum_Proteobacteria.class_Gammaproteobacteria.order_Alteromonadales,3
phylum_Proteobacteria.class_Gammaproteobacteria.order_Enterobacteriaceae,3
phylum_Proteobacteria.class_Gammaproteobacteria.order_Pseudomonadales,
phylum_Proteobacteria.class_Gammaproteobacteria.order_Pseudomonadales.family_Pseudomonadaceae,4
phylum_Proteobacteria.class_Proteobacteria,2
phylum_Proteobacteria.family_Enterobacteriaceae,
phylum_Proteobacteria.family_Enterobacteriaceae.order_Enterobacteriaceae,3
phylum_Proteobacteria.family_Enterobacteriaceae.order_Enterobacteriales,3
phylum_Proteobacteria.family_Pasteurellaceae,2
phylum_Proteobacteria.family_Vibrionaceae,2
phylum_Proteobacteria.order_Campylobacterales,2
phylum_Proteobacteria.order_Legionellales,2
phylum_Proteobacteria.order_Pasteurellaceae,2
phylum_Proteobacteria.order_Rhodospirillales,2
phylum_Proteobacteria.order_Rickettsiales,
phylum_Proteobacteria.order_Rickettsiales.family_Rickettsiaceae,3
phylum_Proteobacteria.order_Thiotrichales,2
