relation	concept	tsne_x	tsne_y
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#89941	8.631	9.228
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10844	7.164	4.438
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#8498	7.581	3.213
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#7412	5.176	5.235
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#3265	4.833	4.128
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7528	9.476	5.972
#gene-disease-association	#gene-disease-association_disease/mesh#D015658	5.022	5.495
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7048	3.220	1.324
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#1730	5.297	8.862
#gene-disease-association	#gene-disease-association_disease/mesh#D015674	4.431	5.864
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3683	3.812	7.687
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7316	5.804	2.987
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10274	5.362	8.358
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3918	3.222	7.702
pathwaycommons#controls-production-of	pathwaycommons#controls-production-of_chemical/chebi#17659	5.040	2.870
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6811	5.426	6.957
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#55746	5.786	8.868
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23224	8.653	6.834
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#9467	7.490	2.956
#drug-has-target	#drug-has-target_protein/uniprot#P14416	4.614	1.527
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5439	9.857	6.179
#drug-has-target	#drug-has-target_protein/uniprot#P55211	1.658	5.337
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#4751	7.257	5.074
#gene-disease-association	#gene-disease-association_disease/mesh#D011085	2.125	6.746
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10450	6.360	2.262
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#55863	4.784	2.693
#drug-has-target	#drug-has-target_protein/uniprot#Q16775	1.656	5.208
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3233	9.021	6.091
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#4627	6.918	8.356
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#91523	7.923	3.416
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#55196	8.582	3.155
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2185	3.804	7.025
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5982	6.025	3.231
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23020	6.796	1.901
#gene-disease-association	#gene-disease-association_disease/mesh#D000022	3.640	6.500
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#1462	3.046	7.761
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#580	9.473	7.663
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5080	9.151	6.079
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#11155	8.291	3.370
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7307	6.901	2.027
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8243	5.366	8.356
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8515	4.038	7.881
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5295	5.207	3.946
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8324	1.875	1.986
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#25949	6.999	1.969
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#9183	5.118	8.970
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6510	7.604	2.889
#drug-has-target	#drug-has-target_protein/uniprot#P21266	1.584	5.174
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#4869	8.321	6.549
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5434	9.908	6.276
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#24144	6.920	2.010
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#9218	4.738	2.773
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#80179	6.939	8.251
#gene-disease-association	#gene-disease-association_disease/mesh#D000230	4.212	2.214
#gene-disease-association	#gene-disease-association_disease/mesh#D003877	0.655	3.409
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#207	2.070	9.260
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8655	7.831	5.307
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3854	8.394	3.323
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5438	9.860	6.188
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3693	3.577	7.603
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3516	6.579	6.765
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#998	8.450	9.084
pathwaycommons#controls-transport-of	pathwaycommons#controls-transport-of_gene/entrez#6776	2.340	9.142
#gene-disease-association	#gene-disease-association_disease/mesh#D008545	4.016	2.466
#drug-has-target	#drug-has-target_protein/uniprot#P35575	1.684	5.268
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#391	8.475	9.222
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23332	7.057	5.953
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#27040	8.356	3.434
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#3845	4.833	4.125
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3675	3.937	7.880
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#9656	9.313	7.523
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5108	7.084	5.053
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#5500	6.932	8.169
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10250	7.065	1.739
pathwaycommons#chemical-affects	pathwaycommons#chemical-affects_gene/entrez#7124	5.688	1.487
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#126961	8.871	5.934
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#51259	6.808	4.683
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#57551	5.117	9.041
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6628	6.870	1.833
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6633	7.042	1.562
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7314	5.782	2.986
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#4001	8.896	6.366
#gene-disease-association	#gene-disease-association_disease/mesh#D009362	1.848	7.391
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10733	7.011	5.035
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#22981	7.232	5.070
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7311	5.805	2.991
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#5881	8.479	9.187
