relation	concept	tsne_x	tsne_y
type	type_List_of_cities_and_towns_in_Colorado	1.389	3.338
type	type_High_school	7.160	5.266
type	type_Paris_Métro	9.165	3.389
type	type_Unincorporated_area	6.179	2.761
type	type_Semi-automatic_pistol	4.948	3.536
type	type_Independent_school	3.286	7.015
type	type_Beauty_pageant	9.129	7.226
type	type_California	6.380	6.353
type	type_List_of_former_municipalities_of_Norway	4.378	6.173
type	type_Limited_company	5.876	5.370
type	type_Private_university	3.372	5.579
type	type_Independent_school_(United_Kingdom)	5.433	5.849
type	type_List_of_cities_in_Kentucky	4.329	5.748
type	type_Cantilever_bridge	2.429	1.936
type	type_Amphoe	4.049	5.789
type	type_List_of_villages_in_Japan	7.712	4.231
type	type_Academy_(English_school)	5.268	1.828
type	type_Non-metropolitan_district	2.117	5.508
type	type_Civil_township	6.222	2.911
type	type_Single-sex_education	4.254	6.916
type	type_Reservoir	4.560	4.771
type	type_S.A._(corporation)	6.369	6.613
type	type_Subsidiary	7.473	5.442
type	type_Powiat	6.494	3.498
type	type_Village	8.737	5.636
type	type_Administrative_divisions_of_New_York	8.676	5.016
type	type_Municipalities_of_Colombia	3.836	7.309
type	type_Aktiengesellschaft	2.187	4.303
type	type_Borough_(New_Jersey)	4.667	7.306
type	type_Township_(Pennsylvania)	5.139	5.429
type	type_County-level_city	3.244	4.429
type	type_Light_rail	6.022	7.444
type	type_Extended_play	2.359	0.827
type	type_Non-governmental_organization	5.367	5.826
type	type_Nonprofit_organization	4.441	3.173
type	type_Arch_bridge	4.624	5.253
type	type_Borough_(Pennsylvania)	4.912	6.761
type	type_Town	5.728	4.832
type	type_Art_museum	6.085	0.832
type	type_SEPTA	7.701	1.337
type	type_Division_(business)	7.469	5.640
type	type_Public_company	3.103	7.746
type	type_Municipalities_of_the_Philippines	6.738	6.396
type	type_Mixed-sex_education	3.245	5.836
type	type_Public_limited_company	7.143	2.327
type	type_Municipalities_of_Spain	2.790	6.533
type	type_List_of_towns_and_villages_in_Illinois	4.931	0.702
type	type_Types_of_municipalities_in_Quebec	2.720	5.384
type	type_Commuter_rail	6.084	1.080
type	type_List_of_towns_in_Japan	8.497	4.837
type	type_Privately_held_company	6.728	5.150
type	type_Boarding_school	7.371	3.905
type	type_List_of_Doctor_Who_serials	2.423	5.348
type	type_Township_(New_Jersey)	4.916	7.608
type	type_Municipalities_of_Brazil	5.321	0.990
type	type_Fighter_aircraft	6.162	5.599
type	type_Stratovolcano	8.988	4.191
type	type_Manga	5.119	4.283
type	type_Cities_of_Japan	7.877	4.692
type	type_Live_album	6.766	8.480
typeOfElectrification	typeOfElectrification_Overhead_line	6.102	6.894
type	type_Neighbourhood	8.384	2.933
type	type_Counties_of_the_People's_Republic_of_China	5.761	5.498
type	type_Alaska	3.507	6.965
type	type_Freguesia_(Portugal)	4.377	0.620
type	type_NASA	3.635	5.544
type	type_Truss_bridge	2.481	1.956
type	type_Municipalities_of_Switzerland	5.331	1.639
type	type_Soundtrack	3.288	7.350
type	type_Day_school	3.266	7.263
type	type_Newspaper	3.882	6.334
type	type_Municipalities_of_Sweden	5.406	3.137
type	type_Passenger_rail_terminology	6.059	1.127
type	type_State_school	2.174	7.837
type	type_Compilation_album	4.525	3.652
type	type_Private_school	3.295	7.338
type	type_University-preparatory_school	3.306	7.508
type	type_Dessert	2.870	5.460
type	type_Suspension_bridge	2.549	2.109
type	type_List_of_cities_in_Illinois	5.544	1.640
type	type_Census-designated_place	4.192	6.923
type	type_City	2.133	1.010
type	type_Provinces_of_Italy	7.036	2.479
type	type_Community_college	4.554	5.526
type	type_Original_video_animation	3.301	1.607
type	type_List_of_township_municipalities_in_Ontario	5.937	4.773
type	type_List_of_districts_of_Pakistan	3.702	5.128
type	type_District	6.574	6.300
type	type_New_England_town	4.440	7.127
type	type_Infantry	5.610	4.420
type	type_Prefecture-level_city	6.045	5.732
type	type_List_of_municipalities_of_the_Netherlands	6.593	1.079
type	type_Village_(United_States)	5.115	4.518
type	type_Public_university	3.231	6.620
type	type_List_of_towns_and_boroughs_in_Pennsylvania	5.272	5.448
type	type_Charter_township	5.396	2.093
type	type_Municipality	3.217	5.353
type	type_Communes_of_Romania	7.027	3.658
type	type_Cities_of_the_Philippines	1.777	4.788
type	type_Album	6.810	6.305
type	type_Rapid_transit	6.088	7.310
type	type_State-owned_enterprise	3.490	2.345
typeOfElectrification	typeOfElectrification_Volt	6.088	6.966
type	type_List_of_cities_in_Argentina	7.649	6.584
type	type_Unicameralism	2.467	2.188
type	type_Township_(United_States)	5.672	7.880
type	type_Secondary_school	7.125	6.240
