relation	concept	tsne_x	tsne_y
religion	/people/person/religion_/en/christian	8.738	2.907
ethnicity	/people/person/ethnicity_/en/bavarians	4.524	3.381
ethnicity	/people/person/ethnicity_/en/hungarian_people	8.339	6.441
ethnicity	/people/person/ethnicity_/en/french_people	7.148	5.839
ethnicity	/people/person/ethnicity_/en/poles	5.980	4.470
religion	/people/person/religion_/en/hinduism	6.245	4.846
religion	/people/person/religion_/en/buddhism	5.384	6.766
religion	/people/person/religion_/en/religious_society_of_friends	6.139	2.023
religion	/people/person/religion_/en/paganism	4.946	3.000
religion	/people/person/religion_/en/muslim	3.271	5.997
religion	/people/person/religion_/en/roman_catholic_church	3.706	6.761
ethnicity	/people/person/ethnicity_/en/english_americans	3.997	4.891
religion	/people/person/religion_/en/hindu	6.217	4.774
religion	/people/person/religion_/en/baptist	5.714	5.575
religion	/people/person/religion_/en/lutheranism	6.279	3.939
ethnicity	/people/person/ethnicity_/en/scottish_people	4.273	4.012
religion	/people/person/religion_/en/church_of_jesus_christ_of_latter-day_saints	7.276	3.018
religion	/people/person/religion_/en/united_methodist_church	3.276	5.694
ethnicity	/people/person/ethnicity_/en/judaism	5.136	4.112
religion	/people/person/religion_/en/agnosticism	1.728	5.509
religion	/people/person/religion_/en/eastern_orthodox_church	6.075	4.236
religion	/people/person/religion_/en/sikhism	4.235	3.525
religion	/people/person/religion_/en/shia_islam	4.116	6.922
religion	/people/person/religion_/en/catholic	5.608	3.373
religion	/people/person/religion_/en/serbian_orthodox_church	2.955	6.376
religion	/people/person/religion_/en/unitarianism	4.042	2.787
ethnicity	/people/person/ethnicity_/en/irish_people	5.936	4.758
religion	/people/person/religion_/en/judaism	7.896	6.852
religion	/people/person/religion_/en/catholicism	5.709	0.038
religion	/people/person/religion_/en/episcopal_church_in_the_united_states_of_america	3.363	5.752
religion	/people/person/religion_/en/orthodox_judaism	8.166	8.047
religion	/people/person/religion_/en/church_of_england	9.519	6.746
ethnicity	/people/person/ethnicity_/en/caucasian_race	5.556	4.468
religion	/people/person/religion_/en/anglicanism	5.461	6.570
ethnicity	/people/person/ethnicity_/en/swedish_people	6.285	4.018
ethnicity	/people/person/ethnicity_/en/scottish_american	5.528	3.739
ethnicity	/people/person/ethnicity_/en/javanese	5.024	5.555
ethnicity	/people/person/ethnicity_/en/english_people	5.857	5.141
religion	/people/person/religion_/en/deism	5.168	3.589
ethnicity	/people/person/ethnicity_/en/swedish_american	6.272	3.924
ethnicity	/people/person/ethnicity_/en/tamil_people	6.505	5.819
ethnicity	/people/person/ethnicity_/en/russians	5.953	5.984
ethnicity	/people/person/ethnicity_/en/white_latin_american	4.572	2.631
religion	/people/person/religion_/en/islam	9.595	5.844
ethnicity	/people/person/ethnicity_/en/scottish_canadian	5.074	3.395
religion	/people/person/religion_/en/christianity	6.225	4.302
religion	/people/person/religion_/en/jew	7.151	5.640
ethnicity	/people/person/ethnicity_/en/irish_american	4.012	4.892
religion	/people/person/religion_/en/atheism	8.785	6.517
ethnicity	/people/person/ethnicity_/en/korean_people	2.438	5.235
ethnicity	/people/person/ethnicity_/en/greeks	5.295	2.889
ethnicity	/people/person/ethnicity_/en/serbs	2.960	6.371
ethnicity	/people/person/ethnicity_/en/african_american	6.301	6.507
ethnicity	/people/person/ethnicity_/en/ashkenazi_jews	8.113	7.872
ethnicity	/people/person/ethnicity_/en/italian_american	6.623	6.128
religion	/people/person/religion_/en/unitarian_universalism	4.527	2.843
religion	/people/person/religion_/en/church_of_scotland	6.133	3.448
religion	/people/person/religion_/en/methodism	4.870	2.111
ethnicity	/people/person/ethnicity_/en/italian_people	4.601	0.861
ethnicity	/people/person/ethnicity_/en/jew	7.679	1.663
ethnicity	/people/person/ethnicity_/en/japanese_american	3.022	4.007
religion	/people/person/religion_/en/protestantism	5.554	2.832
religion	/people/person/religion_/en/sephardic_judaism	4.236	5.771
ethnicity	/people/person/ethnicity_/en/mexican_american	5.608	4.745
ethnicity	/people/person/ethnicity_/en/chinese_american	5.711	2.641
religion	/people/person/religion_/en/congregational_church	5.386	3.898
religion	/people/person/religion_/en/united_church_of_canada	6.683	3.820
ethnicity	/people/person/ethnicity_/en/scots-irish_american	5.490	3.668
ethnicity	/people/person/ethnicity_/en/sri_lankan_tamils	5.979	6.630
ethnicity	/people/person/ethnicity_/en/bulgarians	6.113	4.117
ethnicity	/people/person/ethnicity_/en/indigenous_peoples_of_the_americas	6.531	4.743
religion	/people/person/religion_/en/presbyterianism	3.803	7.853
ethnicity	/people/person/ethnicity_/en/white_american	5.143	4.946
ethnicity	/people/person/ethnicity_/en/german_american	5.505	5.572
ethnicity	/people/person/ethnicity_/en/dutch-americans	5.455	3.594
religion	/people/person/religion_/en/sunni_islam	9.685	5.887
ethnicity	/people/person/ethnicity_/en/indigenous_australians	6.589	2.584
religion	/people/person/religion_/en/greek_orthodox_church	9.401	6.644
religion	/people/person/religion_/en/dutch_reformed_church	9.021	3.656
ethnicity	/people/person/ethnicity_/en/germans	4.821	3.894
