relation	concept	tsne_x	tsne_y
profession	/people/person/profession_/en/farmer	4.798	7.656
nationality	/people/person/nationality_/en/south_africa	2.503	5.578
nationality	/people/person/nationality_/en/norway	3.115	3.718
institution	/education/education/institution_/en/saint_petersburg_state_university	3.506	5.782
profession	/people/person/profession_/en/production_designer	4.839	2.419
profession	/people/person/profession_/en/conducting	6.512	6.624
profession	/people/person/profession_/en/mathematician	3.970	5.771
nationality	/people/person/nationality_/en/portugal	3.944	7.429
profession	/people/person/profession_/en/librettist	3.544	4.725
profession	/people/person/profession_/en/engineer	4.639	4.765
nationality	/people/person/nationality_/en/united_kingdom	1.919	7.868
institution	/education/education/institution_/en/johns_hopkins_university	4.348	7.038
institution	/education/education/institution_/en/duke_university	1.917	5.017
institution	/education/education/institution_/en/wesleyan_university	2.710	5.708
profession	/people/person/profession_/en/political_scientist	4.129	9.034
profession	/people/person/profession_/en/astronomer	5.872	6.771
institution	/education/education/institution_/en/trinity_college_dublin	3.881	5.837
institution	/education/education/institution_/en/magdalene_college_cambridge	6.188	1.839
profession	/people/person/profession_/en/soldier	6.090	6.264
institution	/education/education/institution_/en/university_of_maryland_college_park	3.816	7.620
nationality	/people/person/nationality_/en/bulgaria	3.805	5.382
profession	/people/person/profession_/en/statesman	4.767	2.857
nationality	/people/person/nationality_/en/wales	3.958	7.807
profession	/people/person/profession_/en/member_of_parliament	3.796	1.318
profession	/people/person/profession_/en/novelist	5.053	3.671
institution	/education/education/institution_/en/columbia_university	3.554	3.732
institution	/education/education/institution_/en/university_of_oregon	6.334	5.471
profession	/people/person/profession_/en/dentist	6.159	6.146
profession	/people/person/profession_/en/rapping	2.449	2.553
profession	/people/person/profession_/en/illustrator	4.581	5.373
institution	/education/education/institution_/en/peterhouse_cambridge	5.194	4.558
institution	/education/education/institution_/en/moscow_state_university	5.815	4.025
profession	/people/person/profession_/en/peace_activist	4.322	6.140
profession	/people/person/profession_/en/educator	4.056	4.585
institution	/education/education/institution_/en/university_of_sydney	3.015	4.286
profession	/people/person/profession_/en/essayist	4.091	5.297
institution	/education/education/institution_/en/university_of_michigan	2.553	6.243
nationality	/people/person/nationality_/en/ecuador	3.594	7.269
institution	/education/education/institution_/en/university_of_alabama	3.844	4.997
nationality	/people/person/nationality_/en/denmark	5.454	2.249
institution	/education/education/institution_/en/the_queens_college_oxford	3.564	5.832
institution	/education/education/institution_/en/university_of_calcutta	2.449	5.817
profession	/people/person/profession_/en/columnist	4.321	4.985
profession	/people/person/profession_/en/merchant	5.168	1.930
profession	/people/person/profession_/en/voice_acting	3.476	5.560
institution	/education/education/institution_/en/washington_university_in_st_louis	3.189	2.132
institution	/education/education/institution_/en/university_college_london	7.964	5.921
profession	/people/person/profession_/en/chemist	3.471	5.732
profession	/people/person/profession_/en/racecar_driver	8.362	3.637
profession	/people/person/profession_/en/aviator	6.452	5.729
profession	/people/person/profession_/en/architect	3.312	3.340
nationality	/people/person/nationality_/en/armenia	4.604	1.464
institution	/education/education/institution_/en/corpus_christi_college_oxford	4.384	4.395
profession	/people/person/profession_/en/fashion_designer	7.713	4.375
institution	/education/education/institution_/en/university_of_southern_california	4.253	1.810
profession	/people/person/profession_/en/music_pedagogue	8.448	7.923
profession	/people/person/profession_/en/photographer	8.559	6.113
profession	/people/person/profession_/en/publisher	3.967	5.206
nationality	/people/person/nationality_/en/cuba	6.779	4.904
institution	/education/education/institution_/en/christ_church_oxford	5.595	5.085
institution	/education/education/institution_/en/merton_college_oxford	1.992	6.126
profession	/people/person/profession_/en/television_producer	5.557	6.181
profession	/people/person/profession_/en/statistician	8.504	5.479
profession	/people/person/profession_/en/monarch	4.643	4.497
profession	/people/person/profession_/en/scientist	3.653	3.593
profession	/people/person/profession_/en/keyboardist	4.399	6.164
institution	/education/education/institution_/en/united_states_military_academy	3.767	7.828
profession	/people/person/profession_/en/police_officer	2.916	4.632
profession	/people/person/profession_/en/barrister	2.257	6.478
institution	/education/education/institution_/en/university_of_utah	5.024	6.089
nationality	/people/person/nationality_/en/sweden	4.617	3.297
profession	/people/person/profession_/en/violist	5.802	6.121
nationality	/people/person/nationality_/en/china	5.841	5.493
institution	/education/education/institution_/en/charterhouse_school	2.093	6.080
institution	/education/education/institution_/en/syracuse_university	2.842	5.719
profession	/people/person/profession_/en/lyricist	2.692	1.900
institution	/education/education/institution_/en/university_of_glasgow	4.455	5.112
profession	/people/person/profession_/en/music_critic	2.927	3.318
institution	/education/education/institution_/en/university_of_kansas	2.033	4.815
nationality	/people/person/nationality_/en/australia	2.997	4.229
institution	/education/education/institution_/en/royal_college_of_art	3.373	5.470
institution	/education/education/institution_/en/university_of_minnesota	2.724	5.063
gender	/people/person/gender_/en/male	2.257	4.783
profession	/people/person/profession_/en/professor	2.549	5.340
institution	/education/education/institution_/en/union_college	4.207	6.994
institution	/education/education/institution_/en/trinity_college_cambridge	3.817	2.994
institution	/education/education/institution_/en/trinity_college_oxford	4.901	6.134
institution	/education/education/institution_/en/royal_military_academy	3.305	5.719
nationality	/people/person/nationality_/en/netherlands	6.551	5.971
institution	/education/education/institution_/en/yale_university	3.490	4.572
institution	/education/education/institution_/en/williams_college	4.139	3.116
profession	/people/person/profession_/en/artist	5.894	5.558
profession	/people/person/profession_/en/literary_critic	4.890	5.335
profession	/people/person/profession_/en/anthropologist	4.657	6.561
profession	/people/person/profession_/en/pastor	2.853	6.742
institution	/education/education/institution_/en/imperial_college_london	5.592	4.246
institution	/education/education/institution_/en/university_of_vienna	4.172	4.985
profession	/people/person/profession_/en/officer	0.245	4.924
profession	/people/person/profession_/en/social_activist	7.073	7.620
institution	/education/education/institution_/en/harvard_divinity_school	5.195	3.821
institution	/education/education/institution_/en/university_of_california_berkeley	3.287	4.024
institution	/education/education/institution_/en/george_washington_university	4.530	3.068
profession	/people/person/profession_/en/playwright	3.526	5.530
institution	/education/education/institution_/en/columbia_law_school	7.614	2.531
profession	/people/person/profession_/en/film_director	5.678	3.498
institution	/education/education/institution_/en/university_of_cambridge	4.094	4.808
institution	/education/education/institution_/en/university_of_oslo	3.101	3.844
profession	/people/person/profession_/en/trombonist	4.214	5.473
institution	/education/education/institution_/en/leiden_university	4.447	3.758
nationality	/people/person/nationality_/en/poland	4.596	5.910
profession	/people/person/profession_/en/rabbi	8.288	3.124
nationality	/people/person/nationality_/en/philippines	4.235	7.468
institution	/education/education/institution_/en/gonville_and_caius_college_cambridge	3.051	1.804
institution	/education/education/institution_/en/exeter_college_oxford	4.597	6.275
profession	/people/person/profession_/en/organist	5.939	4.531
profession	/people/person/profession_/en/dramatist	3.216	4.858
profession	/people/person/profession_/en/writer	5.067	3.645
profession	/people/person/profession_/en/archaeologist	4.702	6.572
profession	/people/person/profession_/en/guitarist	4.113	6.207
