relation	concept	tsne_x	tsne_y
generalizations	generalizations_concept:disease	9.539	3.574
generalizations	generalizations_concept:building	6.031	4.100
generalizations	generalizations_concept:beach	4.045	4.407
generalizations	generalizations_concept:clothing	1.908	1.312
generalizations	generalizations_concept:newspaper	8.548	5.119
generalizations	generalizations_concept:sportsequipment	4.012	5.441
generalizations	generalizations_concept:musician	4.166	4.262
generalizations	generalizations_concept:sportsteam	6.559	8.136
generalizations	generalizations_concept:ethnicgroup	4.507	3.350
generalizations	generalizations_concept:celebrity	0.473	5.124
generalizations	generalizations_concept:biotechcompany	4.572	5.716
generalizations	generalizations_concept:politician	5.562	2.860
generalizations	generalizations_concept:musicsong	4.674	4.688
generalizations	generalizations_concept:academicfield	4.206	6.338
generalizations	generalizations_concept:city	7.734	1.762
generalizations	generalizations_concept:personasia	5.609	3.320
generalizations	generalizations_concept:wallitem	5.180	6.684
generalizations	generalizations_concept:landscapefeatures	5.018	6.730
generalizations	generalizations_concept:comedian	5.498	4.663
generalizations	generalizations_concept:boardgame	5.366	7.066
generalizations	generalizations_concept:agriculturalproduct	4.040	3.103
generalizations	generalizations_concept:fruit	8.997	2.623
generalizations	generalizations_concept:ceo	7.592	8.749
generalizations	generalizations_concept:sport	5.655	3.475
generalizations	generalizations_concept:street	4.422	4.748
generalizations	generalizations_concept:candy	5.467	5.131
generalizations	generalizations_concept:reptile	4.965	4.539
generalizations	generalizations_concept:sportsevent	4.813	6.361
generalizations	generalizations_concept:port	4.791	3.437
generalizations	generalizations_concept:sportsleague	8.045	5.927
generalizations	generalizations_concept:militaryeventtype	2.996	6.731
generalizations	generalizations_concept:room	3.733	4.800
generalizations	generalizations_concept:tableitem	3.884	4.135
generalizations	generalizations_concept:professionalorganization	8.681	1.675
generalizations	generalizations_concept:mlconference	5.416	4.475
generalizations	generalizations_concept:bodypart	6.024	3.760
generalizations	generalizations_concept:invertebrate	2.180	5.097
generalizations	generalizations_concept:architect	5.076	3.380
generalizations	generalizations_concept:videogame	5.790	1.501
generalizations	generalizations_concept:species	4.653	1.530
generalizations	generalizations_concept:male	5.644	3.137
generalizations	generalizations_concept:politicsblog	3.815	2.757
generalizations	generalizations_concept:crustacean	5.800	4.449
generalizations	generalizations_concept:parlourgame	5.176	7.035
generalizations	generalizations_concept:legume	8.997	2.623
generalizations	generalizations_concept:meat	8.284	1.394
generalizations	generalizations_concept:grandprix	6.101	3.432
generalizations	generalizations_concept:personmexico	7.125	6.064
generalizations	generalizations_concept:musicfestival	4.333	4.290
generalizations	generalizations_concept:personsouthamerica	4.097	8.776
generalizations	generalizations_concept:jobposition	6.793	2.626
generalizations	generalizations_concept:bakedgood	8.489	4.755
generalizations	generalizations_concept:hotel	5.346	6.588
generalizations	generalizations_concept:musicinstrument	8.125	4.935
generalizations	generalizations_concept:mammal	8.538	5.129
generalizations	generalizations_concept:race	4.829	6.357
generalizations	generalizations_concept:nongovorganization	8.379	2.664
generalizations	generalizations_concept:mlalgorithm	2.954	5.349
generalizations	generalizations_concept:economicsector	5.366	3.643
generalizations	generalizations_concept:blog	3.815	2.757
generalizations	generalizations_concept:mlmetric	5.358	5.242
generalizations	generalizations_concept:judge	7.894	3.226
generalizations	generalizations_concept:physicalaction	8.659	5.120
generalizations	generalizations_concept:election	4.255	0.881
generalizations	generalizations_concept:currency	6.210	4.324
generalizations	generalizations_concept:aquarium	4.530	6.132
generalizations	generalizations_concept:artery	4.594	8.905
generalizations	generalizations_concept:restaurant	5.243	3.493
generalizations	generalizations_concept:automobilemodel	7.932	8.147
generalizations	generalizations_concept:fungus	5.917	4.596
generalizations	generalizations_concept:automobileengine	7.342	0.935
generalizations	generalizations_concept:nut	5.497	0.570
generalizations	generalizations_concept:chemical	4.163	7.835
generalizations	generalizations_concept:politicsgroup	3.322	3.491
generalizations	generalizations_concept:airport	6.167	4.135
generalizations	generalizations_concept:researchproject	6.777	3.403
generalizations	generalizations_concept:consumerelectronicitem	5.507	5.743
generalizations	generalizations_concept:school	2.241	7.050
generalizations	generalizations_concept:scientist	5.004	7.173
generalizations	generalizations_concept:hospital	5.660	4.056
generalizations	generalizations_concept:food	8.874	2.638
generalizations	generalizations_concept:householditem	6.381	0.142
generalizations	generalizations_concept:fish	5.537	3.901
generalizations	generalizations_concept:grain	8.608	5.063
generalizations	generalizations_concept:bacteria	5.015	6.923
generalizations	generalizations_concept:mediacompany	3.661	2.141
generalizations	generalizations_concept:skiarea	5.383	6.197
generalizations	generalizations_concept:language	4.685	5.355
generalizations	generalizations_concept:personbylocation	5.643	2.691
generalizations	generalizations_concept:personaustralia	5.249	4.844
generalizations	generalizations_concept:shoppingmall	4.891	3.285
generalizations	generalizations_concept:bone	5.981	3.552
generalizations	generalizations_concept:nondiseasecondition	7.973	3.553
generalizations	generalizations_concept:medicalprocedure	4.938	5.539
generalizations	generalizations_concept:software	5.790	1.501
generalizations	generalizations_concept:company	3.652	2.096
generalizations	generalizations_concept:recipe	8.549	5.097
generalizations	generalizations_concept:product	4.371	6.741
generalizations	generalizations_concept:mldataset	5.089	6.311
generalizations	generalizations_concept:lymphnode	8.585	5.132
generalizations	generalizations_concept:director	7.373	3.516
generalizations	generalizations_concept:televisionshow	4.778	5.710
generalizations	generalizations_concept:physiologicalcondition	9.539	3.574
generalizations	generalizations_concept:conference	5.404	4.472
generalizations	generalizations_concept:visualartist	2.438	8.162
generalizations	generalizations_concept:religion	5.175	5.008
generalizations	generalizations_concept:geopoliticalorganization	6.974	1.197
generalizations	generalizations_concept:arthropod	2.179	5.096
generalizations	generalizations_concept:transportation	6.435	3.782
generalizations	generalizations_concept:governmentorganization	3.322	3.491
generalizations	generalizations_concept:chef	4.814	7.148
generalizations	generalizations_concept:monarch	6.210	3.800
generalizations	generalizations_concept:mountain	5.835	3.456
generalizations	generalizations_concept:drug	6.329	5.146
generalizations	generalizations_concept:politicaloffice	6.894	3.156
generalizations	generalizations_concept:monument	4.979	4.840
generalizations	generalizations_concept:weatherphenomenon	5.387	4.969
generalizations	generalizations_concept:farm	8.863	5.158
generalizations	generalizations_concept:archaea	9.090	7.320
generalizations	generalizations_concept:vertebrate	4.648	1.541
generalizations	generalizations_concept:nonneginteger	7.915	4.828
generalizations	generalizations_concept:person	5.687	2.633
generalizations	generalizations_concept:trainstation	5.623	5.037
generalizations	generalizations_concept:automobilemaker	8.484	5.100
generalizations	generalizations_concept:model	5.413	3.401
generalizations	generalizations_concept:professor	7.014	2.669
generalizations	generalizations_concept:event	4.743	6.364
generalizations	generalizations_concept:retailstore	7.092	0.673
generalizations	generalizations_concept:recordlabel	5.917	3.874
generalizations	generalizations_concept:personafrica	5.355	6.847
generalizations	generalizations_concept:attraction	5.378	6.201
generalizations	generalizations_concept:cave	6.680	3.291
generalizations	generalizations_concept:astronaut	5.605	6.292
generalizations	generalizations_concept:beverage	3.548	3.994
generalizations	generalizations_concept:geometricshape	5.020	3.565
generalizations	generalizations_concept:vegetable	4.368	3.191
generalizations	generalizations_concept:eventoutcome	5.691	4.542
generalizations	generalizations_concept:radiostation	6.431	3.334
generalizations	generalizations_concept:book	6.334	4.058
generalizations	generalizations_concept:buildingmaterial	7.216	3.180
generalizations	generalizations_concept:date	4.471	0.326
generalizations	generalizations_concept:geopoliticalentity	6.980	1.200
generalizations	generalizations_concept:mediatype	5.127	3.710
generalizations	generalizations_concept:awardtrophytournament	6.154	3.616
generalizations	generalizations_concept:mlauthor	6.865	2.981
generalizations	generalizations_concept:sociopolitical	8.619	5.022
generalizations	generalizations_concept:dateliteral	1.877	5.685
generalizations	generalizations_concept:convention	0.642	3.879
generalizations	generalizations_concept:zipcode	6.249	5.841
generalizations	generalizations_concept:geopoliticallocation	7.024	1.226
generalizations	generalizations_concept:personnorthamerica	5.615	2.735
generalizations	generalizations_concept:female	6.630	3.210
generalizations	generalizations_concept:organization	3.648	2.057
generalizations	generalizations_concept:tradeunion	5.733	3.885
generalizations	generalizations_concept:sportsteamposition	8.008	6.161
generalizations	generalizations_concept:personus	5.561	2.860
generalizations	generalizations_concept:perceptionaction	6.318	3.561
generalizations	generalizations_concept:abstractthing	7.203	4.554
generalizations	generalizations_concept:militaryconflict	2.996	6.731
generalizations	generalizations_concept:stateorprovince	8.545	4.865
generalizations	generalizations_concept:sportsgame	8.228	5.140
generalizations	generalizations_concept:game	2.697	6.386
generalizations	generalizations_concept:location	5.984	4.088
generalizations	generalizations_concept:insect	2.179	5.095
generalizations	generalizations_concept:mountainrange	5.313	3.913
generalizations	generalizations_concept:actor	0.497	5.122
